brand,twitter_account_name,domain
CNN,CNN,news
NBC News,NBCNews,news
CBS News,CBSNews,news
NPR,NPR,news
ESPN,espn,news
Free Speech TV,freespeechtv,news
Fusion News,FusionNews,news
Newsmax,newsmax,news
world net daily,worldnetdaily,news
Daily Caller,DailyCaller,news
Natinal Football Leauge,NFL,sports
National Basketball Association,NBA,sports
Women's National Basketball Association,WNBA,sports
USA Basketball,usabasketball,sports
Major League Baseball,MLB,sports
NHL Hockey,NHL,sports
NASCAR,NASCAR,sports
PGA,ThePGA,sports
Major League Soccer,MLS,sports
United States men's national soccer team,USMNT,sports
United States women's national soccer team,USWNT,sports
NCAA Women's Basketball,ncaawbb,sports
NCAA Men's Basketball,marchmadness,sports
NCAA Football,NCAAFootball,sports
America's Got Talent,AGT,tv shows
American Idol,AmericanIdol,tv shows
Keeping Up with the Kardashians,KUWTK,tv shows
Undercover Boss,undercover_cbs,tv shows
Little Big Shots,NBCLilBigShots,tv shows
Empire,EmpireFOX,tv shows
48 Hours,48hours,tv shows
Lethal Weapon,LethalWeaponFOX,tv shows
MacGyver,MacGyverCBS,tv shows
america's funniest home videos,AFVofficial,tv shows
Family Guy,FamilyGuyonFOX,tv shows
Hell's Kitchen,HellsKitchenFOX,tv shows
Hawaii Five-0,HawaiiFive0CBS,tv shows
Bob's Burgers,BobsBurgersFOX,tv shows
Code Black,CodeBlackCBS,tv shows
NCIS,NCIS_CBS,tv shows
NCIS: New Orleans,NCISNewOrleans,tv shows
Blue Bloods,BlueBloods_CBS,tv shows
Dr. Ken,DrKenABC,tv shows
Dancing with the Stars,DancingABC,tv shows
Criminal Minds,CrimMinds_CBS,tv shows
The Simpsons,TheSimpsons,tv shows
Modern Family,ModernFam,tv shows
New Girl,New_GirlTV,tv shows
black-ish,blackishabc,tv shows
The Goldbergs,TheGoldbergsABC,tv shows
Brooklyn Nine-Nine,nbcbrooklyn99,tv shows
Fresh off the Boat,FreshOffABC,tv shows
This Is Us,NBCThisisUs,tv shows
The Big Bang Theory,bigbangtheory,tv shows
Good Place,nbcthegoodplace,tv shows
The Middle,TheMiddle_ABC,tv shows
The Blacklist,NBCBlacklist,tv shows
Madam Secretary,MadamSecretary,tv shows
Blindspot,NBCBlindspot,tv shows
American Housewife,AmericanWifeABC,tv shows
Greys Anatomy,GreysABC,tv shows
Westworld,WestworldHBO,tv shows
Wheel of Fortune,WheelofFortune,tv shows
The Price Is Right,PriceIsRight,tv shows
Family Feud,FamilyFeud,tv shows
Law & Order,nbcsvu,tv shows
Mad Men,MadMen_AMC,tv shows
MythBusters,MythBusters,tv shows
Judge Judy,JudgeJudy,tv shows
Antiques Roadshow,RoadshowPBS,tv shows
Let's Make a Deal,letsmakeadeal,tv shows
The Bachelorette,BacheloretteABC,tv shows
The Bachelor,BachelorABC,tv shows
Burn Notice,Burn_NoticeTV,tv shows
The Good Wife,TheGoodWife_CBS,tv shows
Parks and Recreation,parksandrecnbc,tv shows
Parenthood,nbcparenthood,tv shows
Shark Tank,ABCSharkTank,tv shows
Pawn Stars,pawnstars,tv shows
60 Minutes,60Minutes,tv shows
